SIL-ENCE 1.0	sil
ngembewu 1.0	N g E m b E w u
ngembobo 1.0	N g E m b O b_< O
ngemboni 1.0	N g E m b O n i
ngemfanelo 1.0	N g E m f a n E l O
ngemfundo 1.0	N g E m f u n d O
ngemibala 1.0	N g E m i b_< a l a
ngemibalabala 1.0	N g E m i b_< a l a b_< a l a
ngemibandela 1.0	N g E m i b_< a n d E l a
ngemibiko 1.0	N g E m i b_< i k O
ngemibono 1.0	N g E m i b_< O n O
ngemibuzo 1.0	N g E m i b_< u z O
ngemicabango 1.0	N g E m i |\ a b_< a N g O
ngemidweshu 1.0	N g E m i d w E S u
ngemigomo 1.0	N g E m i g O m O
ngemikhakha 1.0	N g E m i k_h a k_h a
ngemikhiqizo 1.0	N g E m i k_h i !\ i z O
ngemikhonto 1.0	N g E m i k_h O n t_> O
ngemikhuba 1.0	N g E m i k_h u b_< a
ngemikhumbi 1.0	N g E m i k_h u m b i
ngemilenze 1.0	N g E m i l E n dz E
ngemimese 1.0	N g E m i m E s E
ngemininingwane 1.0	N g E m i n i n i N g w a n E
ngeminyaka 1.0	N g E m i J a k a
ngeminye 1.0	N g E m i J E
ngemiphumela 1.0	N g E m i p_h u m E l a
ngemisamo 1.0	N g E m i s a m O
ngemisebenzi 1.0	N g E m i s E b_< E n dz i
ngemishini 1.0	N g E m i S i n i
ngemithelela 1.0	N g E m i t_h E l E l a
ngemithetho 1.0	N g E m i t_h E t_h O
ngemithi 1.0	N g E m i t_h i
ngemizila 1.0	N g E m i z i l a
ngemizimba 1.0	N g E m i z i m b a
ngemotonamantombazane 1.0	N g E m O t_> O n a m a n t_> O m b a z a n E
ngempahla 1.0	N g E m p_> a K a
ngempatho 1.0	N g E m p_> a t_h O
ngempela 1.0	N g E m p_> E l a
ngempesheni 1.0	N g E m p_> E S E n i
ngempilo 1.0	N g E m p_> i l O
ngempumelelo 1.0	N g E m p_> u m E l E l O
ngemuva 1.0	N g E m u v a
ngemva 1.0	N g E m v a
ngemvubu 1.0	N g E m v u b_< u
ngemvula 1.0	N g E m v u l a
ngemvume 1.0	N g E m v u m E
ngemvumeekhethekile 1.0	N g E m v u m E E k_h E t_h E k i l E
ngen 1.0	N g E E n
ngena 1.0	N g E n a
ngenaliti 1.0	N g E n a l i t_> i
ngenani 1.0	N g E n a n i
ngencazelo 1.0	N g E n |\ a z E l O
ngencindezi 1.0	N g E n |\ i n d E z i
ngencwadi 1.0	N g E n |\ w a d i
ngendima 1.0	N g E n d i m a
ngendiza 1.0	N g E n d i z a
ngendlebe 1.0	N g E n K\ E b_< E
ngendlela 1.0	N g E n K\ E l a
ngendololwane 1.0	N g E n d O l O l w a n E
ngenduku 1.0	N g E n d u k u
ngendwangu 1.0	N g E n d w a N g u
ngenela 1.0	N g E n E l a
ngenelisiwe 1.0	N g E n E l i s i w E
ngengabukeki 1.0	N g E N g a b_< u k E k i
ngengalo 1.0	N g E N g a l O
ngengane 1.0	N g E N g a n E
ngengcina 1.0	N g E N |\g_0 i n a
ngengculazi 1.0	N g E N |\g_0 u l a z i
ngengoba 1.0	N g E N g O b_< a
ngengoma 1.0	N g E N g O m a
ngengqinamba 1.0	N g E N !\g_0 i n a m b a
ngengqondo 1.0	N g E N !\g_0 O n d O
ngengxa 1.0	N g E N |\|\g_0 a
ngengxoxo 1.0	N g E N |\|\g_0 O |\|\ O
ngenhla 1.0	N g E n K a
ngenhlalo 1.0	N g E n K a l O
ngenhlamba 1.0	N g E n K a m b a
ngenhlangana 1.0	N g E n K a N g a n a
ngenhlanganisela 1.0	N g E n K a N g a n i s E l a
ngenhlanganiso 1.0	N g E n K a N g a n i s O
ngenhlangano 1.0	N g E n K a N g a n O
ngenhliziyo 1.0	N g E n K i z i j O
ngenhlonhlo 1.0	N g E n K O n K O
ngenhlonipho 1.0	N g E n K O n i p_h O
ngenhloso 1.0	N g E n K O s O
ngenjabulo 1.0	N g E J d_0Z a b_< u l O
ngenkambo 1.0	N g E N k a m b O
ngenkampani 1.0	N g E N k a m p_> a n i
ngenkani 1.0	N g E N k a n i
ngenkathi 1.0	N g E N k a t_h i
ngenklathi 1.0	N g E N kK_> a t_h i
ngenkohlakalo 1.0	N g E N k O K a k a l O
ngenkulu 1.0	N g E N k u l u
ngenkululeko 1.0	N g E N k u l u l E k O
ngenkundla 1.0	N g E N k u n K\ a
ngenqubekela 1.0	N g E n !\ u b_< E k E l a
ngenqubekelaphambili 1.0	N g E n !\ u b_< E k E l a p_h a m b i l i
ngenqubeko 1.0	N g E n !\ u b_< E k O
ngenqubo 1.0	N g E n !\ u b_< O
ngenqubomgomo 1.0	N g E n !\ u b_< O m g O m O
ngensimbi 1.0	N g E n ts_> i m b i
ngensini 1.0	N g E n ts_> i n i
ngensipho 1.0	N g E n ts_> i p_h O
ngentando 1.0	N g E n t_> a n d O
ngentela 1.0	N g E n t_> E l a
ngentende 1.0	N g E n t_> E n d E
ngento 1.0	N g E n t_> O
ngentokomalo 1.0	N g E n t_> O k O m a l O
ngentuthuko 1.0	N g E n t_> u t_h u k O
ngenxayalengozi 1.0	N g E n |\|\ a j a l E N g O z i
ngenyama 1.0	N g E J a m a
ngenyanga 1.0	N g E J a N g a
ngenye 1.0	N g E J E
ngenza 1.0	N g E n dz a
ngenzeni 1.0	N g E n dz E n i
ngepasipoti 1.0	N g E p_> a s i p_> O t_> i
ngephesenti 1.0	N g E p_h E s E n t_> i
ngephutha 1.0	N g E p_h u t_h a
ngeposi 1.0	N g E p_> O s i
ngeqembu 1.0	N g E !\ E m b u
ngeqhaza 1.0	N g E !\h a z a
ngeqiniso 1.0	N g E !\ i n i s O
ngeqondomshini 1.0	N g E !\ O n d O m S i n i
ngeqophelo 1.0	N g E !\ O p_h E l O
ngerss 1.0	N g E a r E s E s
ngesabelomali 1.0	N g E s a b_< E l O m a l i
ngesakhiwe 1.0	N g E s a k_h i w E
ngesamagundane 1.0	N g E s a m a g u n d a n E
ngesamba 1.0	N g E s a m b a
ngesandla 1.0	N g E s a n K\ a
ngesankahlu 1.0	N g E s a N k a K u
ngesayensi 1.0	N g E s a j E n ts_> i
ngesaziso 1.0	N g E s a z i s O
ngesehlo 1.0	N g E s E K O
ngesenzo 1.0	N g E s E n dz O
ngesheke 1.0	N g E S E k E
ngeshubhu 1.0	N g E S u b u
ngesi 1.0	N g E s i
ngesibalo 1.0	N g E s i b_< a l O
ngesibhamu 1.0	N g E s i b a m u
ngesibhela 1.0	N g E s i b E l a
ngesibindi 1.0	N g E s i b_< i n d i
ngesibizo 1.0	N g E s i b_< i z O
ngesibopho 1.0	N g E s i b_< O p_h O
ngesibulala 1.0	N g E s i b_< u l a l a
ngesicelo 1.0	N g E s i |\ E l O
ngesici 1.0	N g E s i |\ i
ngesidingo 1.0	N g E s i d i N g O
ngesidlozana 1.0	N g E s i K\ O z a n a
ngesidunu 1.0	N g E s i d u n u
ngesifo 1.0	N g E s i f O
ngesifudumezi 1.0	N g E s i f u d u m E z i
ngesifundazwe 1.0	N g E s i f u n d a z w E
ngesigaba 1.0	N g E s i g a b_< a
ngesigatshana 1.0	N g E s i g a tS_> a n a
ngesigqebhezi 1.0	N g E s i !\g_0 E b E z i
ngesihle 1.0	N g E s i K E
ngesihloko 1.0	N g E s i K O k O
ngesihluthulelo 1.0	N g E s i K u t_h u l E l O
ngesikahthi 1.0	N g E s i k a h t_h i
ngesikali 1.0	N g E s i k a l i
ngesikalo 1.0	N g E s i k a l O
ngesikhafu 1.0	N g E s i k_h a f u
ngesikhahlamezi 1.0	N g E s i k_h a K a m E z i
ngesikhala 1.0	N g E s i k_h a l a
ngesikhalazo 1.0	N g E s i k_h a l a z O
ngesikhalo 1.0	N g E s i k_h a l O
ngesikhathi 1.0	N g E s i k_h a t_h i
ngesikhulu 1.0	N g E s i k_h u l u
ngesikhumba 1.0	N g E s i k_h u m b a
ngesikhungo 1.0	N g E s i k_h u N g O
ngesikhwili 1.0	N g E s i k_h w i l i
ngesiko 1.0	N g E s i k O
ngesikweletu 1.0	N g E s i k w E l E t_> u
ngesilungu 1.0	N g E s i l u N g u
ngesilwane 1.0	N g E s i l w a n E
ngesimanga 1.0	N g E s i m a N g a
ngesimo 1.0	N g E s i m O
ngesimputer 1.0	N g E s i m p_> u t_> E r
ngesineke 1.0	N g E s i n E k E
ngesingisi 1.0	N g E s i N g i s i
ngesinono 1.0	N g E s i n O n O
ngesinqumo 1.0	N g E s i n !\ u m O
ngesinye 1.0	N g E s i J E
ngesiphuzo 1.0	N g E s i p_h u z O
ngesisekelo 1.0	N g E s i s E k E l O
ngesisindo 1.0	N g E s i s i n d O
ngesiswebhu 1.0	N g E s i s w E b u
ngesithupha 1.0	N g E s i t_h u p_h a
ngesitifiketi 1.0	N g E s i t_> i f i k E t_> i
ngesitsako 1.0	N g E s i tS_> a k O
ngesivakashi 1.0	N g E s i v a k a S i
ngesivumelo 1.0	N g E s i v u m E l O
ngesivumelwane 1.0	N g E s i v u m E l w a n E
ngesivumelwano 1.0	N g E s i v u m E l w a n O
ngesixazululo 1.0	N g E s i |\|\ a z u l u l O
ngesizathu 1.0	N g E s i z a t_h u
ngesizulu 1.0	N g E s i z u l u
ngesonto 1.0	N g E s O n t_> O
ngesudi 1.0	N g E s u d i
ngetafula 1.0	N g E t_> a f u l a
ngethawula 1.0	N g E t_h a w u l a
ngethuba 1.0	N g E t_h u b_< a
ngethuka 1.0	N g E t_h u k a
ngethukile 1.0	N g E t_h u k i l E
ngethuluzi 1.0	N g E t_h u l u z i
ngetiye 1.0	N g E t_> i j E
ngetswayi 1.0	N g E tS_> w a j i
ngeviki 1.0	N g E v i k i
ngewebhusayidi 1.0	N g E w E b u s a j i d i
ngewindi 1.0	N g E w i n d i
ngewisa 1.0	N g E w i s a
ngeyamahala 1.0	N g E j a m a h a l a
ngeyamahhala 1.0	N g E j a m a h\ a l a
ngeyamaphoyisa 1.0	N g E j a m a p_h O j i s a
ngeyelobolo 1.0	N g E j E l O b_< O l O
ngeyokugcina 1.0	N g E j O k u |\g_0 i n a
ngeyokulangazela 1.0	N g E j O k u l a N g a z E l a
ngeyokunikela 1.0	N g E j O k u n i k E l a
ngeza 1.0	N g E z a
ngezabasebenzi 1.0	N g E z a b_< a s E b_< E n dz i
ngezakhiwo 1.0	N g E z a k_h i w O
ngezamanzi 1.0	N g E z a m a n dz i
ngezandla 1.0	N g E z a n K\ a
ngezansana 1.0	N g E z a n ts_> a n a
ngezansi 1.0	N g E z a n ts_> i
ngezasemakhay 1.0	N g E z a s E m a k_h a j
ngezazenzeka 1.0	N g E z a z E n dz E k a
ngezazo 1.0	N g E z a z O
ngeze 1.0	N g E z E
ngezemidlalo 1.0	N g E z E m i K\ a l O
ngezempilo 1.0	N g E z E m p_> i l O
ngezemvelo 1.0	N g E z E m v E l O
ngezenhlalo 1.0	N g E z E n K a l O
ngezenqubomgomo 1.0	N g E z E n !\ u b_< O m g O m O
ngezenzo 1.0	N g E z E n dz O
ngezezimali 1.0	N g E z E z i m a l i
ngezezinkonzo 1.0	N g E z E z i N k O n dz O
ngezibhamu 1.0	N g E z i b a m u
ngezibilini 1.0	N g E z i b_< i l i n i
ngezibonelelo 1.0	N g E z i b_< O n E l E l O
ngezibonkolo 1.0	N g E z i b_< O N k O l O
ngeziboshwa 1.0	N g E z i b_< O S w a
ngezibulala 1.0	N g E z i b_< u l a l a
ngezicathulo 1.0	N g E z i |\ a t_h u l O
ngezicelo 1.0	N g E z i |\ E l O
ngezidingo 1.0	N g E z i d i N g O
ngezidingongqangi 1.0	N g E z i d i N g O N !\g_0 a N g i
ngezifo 1.0	N g E z i f O
ngezifungo 1.0	N g E z i f u N g O
ngezigaba 1.0	N g E z i g a b_< a
ngezigidi 1.0	N g E z i g i d i
ngezihlahla 1.0	N g E z i K a K a
ngezihlathi 1.0	N g E z i K a t_h i
ngezihloko 1.0	N g E z i K O k O
ngezijula 1.0	N g E z i d_0Z u l a
ngezikali 1.0	N g E z i k a l i
ngezikhafu 1.0	N g E z i k_h a f u
ngezikhali 1.0	N g E z i k_h a l i
ngezikhathi 1.0	N g E z i k_h a t_h i
ngezikhati 1.0	N g E z i k_h a t_> i
ngezikhumba 1.0	N g E z i k_h u m b a
ngezikhundla 1.0	N g E z i k_h u n K\ a
ngezilimi 1.0	N g E z i l i m i
ngezimakethe 1.0	N g E z i m a k E t_h E
ngezimali 1.0	N g E z i m a l i
ngezimbangela 1.0	N g E z i m b a N g E l a
ngezimfaduko 1.0	N g E z i m f a d u k O
ngezimfuno 1.0	N g E z i m f u n O
ngezimiso 1.0	N g E z i m i s O
ngezimo 1.0	N g E z i m O
ngezimoto 1.0	N g E z i m O t_> O
ngezimpahla 1.0	N g E z i m p_> a K a
ngezimpande 1.0	N g E z i m p_> a n d E
ngezimpisi 1.0	N g E z i m p_> i s i
ngezindaba 1.0	N g E z i n d a b_< a
ngezindawo 1.0	N g E z i n d a w O
ngezindleko 1.0	N g E z i n K\ E k O
ngezindlela 1.0	N g E z i n K\ E l a
ngezindlu 1.0	N g E z i n K\ u
ngezindonga 1.0	N g E z i n d O N g a
ngezinga 1.0	N g E z i N g a
ngezingane 1.0	N g E z i N g a n E
ngezingathekiso 1.0	N g E z i N g a t_h E k i s O
ngezingxabano 1.0	N g E z i N |\|\g_0 a b_< a n O
ngezinhlanga 1.0	N g E z i n K a N g a
ngezinhlangano 1.0	N g E z i n K a N g a n O
ngezinhlelo 1.0	N g E z i n K E l O
ngezinhlobo 1.0	N g E z i n K O b_< O
ngezinhloso 1.0	N g E z i n K O s O
ngezinjongo 1.0	N g E z i J d_0Z O N g O
ngezinkabi 1.0	N g E z i N k a b_< i
ngezinkampani 1.0	N g E z i N k a m p_> a n i
ngezinkinga 1.0	N g E z i N k i N g a
ngezinkomba 1.0	N g E z i N k O m b a
ngezinkomo 1.0	N g E z i N k O m O
ngezinkonzo 1.0	N g E z i N k O n dz O
ngezinombolo 1.0	N g E z i n O m b O l O
ngezinqubo 1.0	N g E z i n !\ u b_< O
ngezinqumo 1.0	N g E z i n !\ u m O
ngezinselelo 1.0	N g E z i n ts_> E l E l O
ngezinsiza 1.0	N g E z i n ts_> i z a
ngezinsuku 1.0	N g E z i n ts_> u k u
ngezinto 1.0	N g E z i n t_> O
ngezintshisekelo 1.0	N g E z i n tS_> i s E k E l O
ngezinxenxo 1.0	N g E z i n |\|\ E n |\|\ O
ngezinyathelo 1.0	N g E z i J a t_h E l O
ngeziphakamiso 1.0	N g E z i p_h a k a m i s O
ngeziqephu 1.0	N g E z i !\ E p_h u
ngeziqondiso 1.0	N g E z i !\ O n d i s O
ngezisekelo 1.0	N g E z i s E k E l O
ngezitebhisi 1.0	N g E z i t_> E b i s i
ngeziteki 1.0	N g E z i t_> E k i
ngezitha 1.0	N g E z i t_h a
ngezithako 1.0	N g E z i t_h a k O
ngezithelo 1.0	N g E z i t_h E l O
ngeziwombe 1.0	N g E z i w O m b E
ngezizathu 1.0	N g E z i z a t_h u
ngezobuchwepheshe 1.0	N g E z O b_< u |\h w E p_h E S E
ngezobulungiswa 1.0	N g E z O b_< u l u N g i s w a
ngezobuphathiswa 1.0	N g E z O b_< u p_h a t_h i s w a
ngezokuphepha 1.0	N g E z O k u p_h E p_h a
ngezokuvikela 1.0	N g E z O k u v i k E l a
ngezokuxhumana 1.0	N g E z O k u |\|\h u m a n a
ngezolimo 1.0	N g E z O l i m O
ngezomnotho 1.0	N g E z O m n O t_h O
ngezomsebenzi 1.0	N g E z O m s E b_< E n dz i
ngezulu 1.0	N g E z u l u
ngezwa 1.0	N g E z w a
ngezwe 1.0	N g E z w E
ngezwi 1.0	N g E z w i
nghlobo 1.0	N g K O b_< O
ngi 1.0	N g i
ngibabuyisele 1.0	N g i b_< a b_< u j i s E l E
ngibachazela 1.0	N g i b_< a |\h a z E l a
ngibalule 1.0	N g i b_< a l u l E
ngibambisane 1.0	N g i b_< a m b i s a n E
ngibase 1.0	N g i b_< a s E
ngibashiya 1.0	N g i b_< a S i j a
ngibathe 1.0	N g i b_< a t_h E
ngibatshele 1.0	N g i b_< a tS_> E l E
ngibaxoxele 1.0	N g i b_< a |\|\ O |\|\ E l E
ngibe 1.0	N g i b_< E
ngibhalele 1.0	N g i b a l E l E
ngibheke 1.0	N g i b E k E
ngibizele 1.0	N g i b_< i z E l E
ngibona 1.0	N g i b_< O n a
ngibonga 1.0	N g i b_< O N g a
ngibophe 1.0	N g i b_< O p_h E
ngibuthi 1.0	N g i b_< u t_h i
ngibuye 1.0	N g i b_< u j E
ngibuza 1.0	N g i b_< u z a
ngicabanga 1.0	N g i |\ a b_< a N g a
ngicela 1.0	N g i |\ E l a
ngidinga 1.0	N g i d i N g a
ngidla 1.0	N g i K\ a
ngifana 1.0	N g i f a n a
ngifanelwe 1.0	N g i f a n E l w E
ngifele 1.0	N g i f E l E
ngifile 1.0	N g i f i l E
ngifisa 1.0	N g i f i s a
ngifone 1.0	N g i f O n E
ngifuna 1.0	N g i f u n a
ngifunde 1.0	N g i f u n d E
ngigcine 1.0	N g i |\g_0 i n E
ngigone 1.0	N g i g O n E
ngigoqe 1.0	N g i g O !\ E
ngihambe 1.0	N g i h a m b E
ngihlabe 1.0	N g i K a b_< E
ngihlala 1.0	N g i K a l a
ngihlezi 1.0	N g i K E z i
ngihlubule 1.0	N g i K u b_< u l E
ngijikeleze 1.0	N g i d_0Z i k E l E z E
ngikhathazekile 1.0	N g i k_h a t_h a z E k i l E
ngikhokhela 1.0	N g i k_h O k_h E l a
ngikhumbula 1.0	N g i k_h u m b u l a
ngikuhambise 1.0	N g i k u h a m b i s E
ngikunikile 1.0	N g i k u n i k i l E
ngikuphathele 1.0	N g i k u p_h a t_h E l E
ngikuqhube 1.0	N g i k u !\h u b_< E
ngikuqinise 1.0	N g i k u !\ i n i s E
ngikushaye 1.0	N g i k u S a j E
ngikushiye 1.0	N g i k u S i j E
ngikusho 1.0	N g i k u S O
ngikuthulela 1.0	N g i k u t_h u l E l a
ngikuwo 1.0	N g i k u w O
ngikuyeke 1.0	N g i k u j E k E
ngikwaze 1.0	N g i k w a z E
ngilana 1.0	N g i l a n a
ngilandele 1.0	N g i l a n d E l E
ngilapha 1.0	N g i l a p_h a
ngilapho 1.0	N g i l a p_h O
ngilinde 1.0	N g i l i n d E
ngilindele 1.0	N g i l i n d E l E
ngiliphike 1.0	N g i l i p_h i k E
ngilithanda 1.0	N g i l i t_h a n d a
ngilokhu 1.0	N g i l O k_h u
ngilubeka 1.0	N g i l u b_< E k a
ngilunguze 1.0	N g i l u N g u z E
ngimazisa 1.0	N g i m a z i s a
ngimbone 1.0	N g i m b O n E
ngimbuze 1.0	N g i m b u z E
ngimbuzela 1.0	N g i m b u z E l a
ngimdala 1.0	N g i m d a l a
ngimdubule 1.0	N g i m d u b_< u l E
ngime 1.0	N g i m E
ngimelwe 1.0	N g i m E l w E
ngimethuka 1.0	N g i m E t_h u k a
ngimfihle 1.0	N g i m f i K E
ngimgcine 1.0	N g i m |\g_0 i n E
ngimi 1.0	N g i m i
ngimlahle 1.0	N g i m l a K E
ngimuzwe 1.0	N g i m u z w E
ngimxoshisa 1.0	N g i m |\|\ O S i s a
ngimyeke 1.0	N g i m j E k E
ngimyekele 1.0	N g i m j E k E l E
ngincela 1.0	N g i n |\ E l a
nginele 1.0	N g i n E l E
nginemali 1.0	N g i n E m a l i
nginendaba 1.0	N g i n E n d a b_< a
nginenkinga 1.0	N g i n E N k i N g a
nginenzele 1.0	N g i n E n dz E l E
nginesu 1.0	N g i n E s u
nginethemba 1.0	N g i n E t_h E m b a
ngingababona 1.0	N g i N g a b_< a b_< O n a
ngingabe 1.0	N g i N g a b_< E
ngingabi 1.0	N g i N g a b_< i
ngingaboleka 1.0	N g i N g a b_< O l E k a
ngingabuye 1.0	N g i N g a b_< u j E
ngingadla 1.0	N g i N g a K\ a
ngingafaka 1.0	N g i N g a f a k a
ngingafi 1.0	N g i N g a f i
ngingafuni 1.0	N g i N g a f u n i
ngingahle 1.0	N g i N g a K E
ngingakafiki 1.0	N g i N g a k a f i k i
ngingakufunela 1.0	N g i N g a k u f u n E l a
ngingaliwa 1.0	N g i N g a l i w a
ngingambiza 1.0	N g i N g a m b i z a
nginganake 1.0	N g i N g a n a k E
nginganakile 1.0	N g i N g a n a k i l E
ngingaya 1.0	N g i N g a j a
ngingayigeza 1.0	N g i N g a j i g E z a
ngingazange 1.0	N g i N g a z a N g E
ngingaze 1.0	N g i N g a z E
ngingazi 1.0	N g i N g a z i
ngingazibhalile 1.0	N g i N g a z i b a l i l E
ngingeneme 1.0	N g i N g E n E m E
ngingengcede 1.0	N g i N g E N |\g_0 E d E
ngingomunye 1.0	N g i N g O m u J E
ngingumabhalane 1.0	N g i N g u m a b a l a n E
ngingunaziswa 1.0	N g i N g u n a z i s w a
nginguvusi 1.0	N g i N g u v u s i
nginihlanganise 1.0	N g i n i K a N g a n i s E
nginika 1.0	N g i n i k a
nginje 1.0	N g i J d_0Z E
nginolwazi 1.0	N g i n O l w a z i
ngiphenduke 1.0	N g i p_h E n d u k E
ngiphenya 1.0	N g i p_h E J a
ngiphile 1.0	N g i p_h i l E
ngiphole 1.0	N g i p_h O l E
ngiphuthume 1.0	N g i p_h u t_h u m E
ngiphuza 1.0	N g i p_h u z a
ngiphuze 1.0	N g i p_h u z E
ngiqhine 1.0	N g i !\h i n E
ngiqhubeka 1.0	N g i !\h u b_< E k a
ngiqinisile 1.0	N g i !\ i n i s i l E
ngiqonde 1.0	N g i !\ O n d E
ngisaba 1.0	N g i s a b_< a
ngisabuya 1.0	N g i s a b_< u j a
ngisacela 1.0	N g i s a |\ E l a
ngisachitha 1.0	N g i s a |\h i t_h a
ngisadla 1.0	N g i s a K\ a
ngisafuna 1.0	N g i s a f u n a
ngisalembula 1.0	N g i s a l E m b u l a
ngisalibele 1.0	N g i s a l i b_< E l E
ngisalindeni 1.0	N g i s a l i n d E n i
ngisalokhu 1.0	N g i s a l O k_h u
ngisayoshayela 1.0	N g i s a j O S a j E l a
ngisebenza 1.0	N g i s E b_< E n dz a
ngisebenze 1.0	N g i s E b_< E n dz E
ngisembethe 1.0	N g i s E m b E t_h E
ngisendleleni 1.0	N g i s E n K\ E l E n i
ngishiseka 1.0	N g i S i s E k a
ngisibambe 1.0	N g i s i b_< a m b E
ngisitholephi 1.0	N g i s i t_h O l E p_h i
ngisize 1.0	N g i s i z E
ngisizeni 1.0	N g i s i z E n i
ngitete 1.0	N g i t_> E t_> E
ngithanda 1.0	N g i t_h a n d a
ngithathekile 1.0	N g i t_h a t_h E k i l E
ngithemba 1.0	N g i t_h E m b a
ngithi 1.0	N g i t_h i
ngithule 1.0	N g i t_h u l E
ngithunywe 1.0	N g i t_h u J w E
ngitshele 1.0	N g i tS_> E l E
ngivele 1.0	N g i v E l E
ngivelelwa 1.0	N g i v E l E l w a
ngivule 1.0	N g i v u l E
ngivuma 1.0	N g i v u m a
ngivumele 1.0	N g i v u m E l E
ngiwuvale 1.0	N g i w u v a l E
ngiwuye 1.0	N g i w u j E
ngixolele 1.0	N g i |\|\ O l E l E
ngixolisa 1.0	N g i |\|\ O l i s a
ngiyababonga 1.0	N g i j a b_< a b_< O N g a
ngiyabaqondisa 1.0	N g i j a b_< a !\ O n d i s a
ngiyabona 1.0	N g i j a b_< O n a
ngiyabuza 1.0	N g i j a b_< u z a
ngiyacela 1.0	N g i j a |\ E l a
ngiyadla 1.0	N g i j a K\ a
ngiyajabula 1.0	N g i j a d_0Z a b_< u l a
ngiyakucela 1.0	N g i j a k u |\ E l a
ngiyakuhalalisela 1.0	N g i j a k u h a l a l i s E l a
ngiyakulenza 1.0	N g i j a k u l E n dz a
ngiyakululeka 1.0	N g i j a k u l u l E k a
ngiyakunakekela 1.0	N g i j a k u n a k E k E l a
ngiyakuthembisa 1.0	N g i j a k u t_h E m b i s a
ngiyakwazi 1.0	N g i j a k w a z i
ngiyalibeka 1.0	N g i j a l i b_< E k a
ngiyambuza 1.0	N g i j a m b u z a
ngiyamesaba 1.0	N g i j a m E s a b_< a
ngiyamthanda 1.0	N g i j a m t_h a n d a
ngiyamvusa 1.0	N g i j a m v u s a
ngiyaphila 1.0	N g i j a p_h i l a
ngiyavuma 1.0	N g i j a v u m a
ngiyaxolisa 1.0	N g i j a |\|\ O l i s a
ngiyazi 1.0	N g i j a z i
ngiyazithanda 1.0	N g i j a z i t_h a n d a
ngiye 1.0	N g i j E
ngiyeke 1.0	N g i j E k E
ngiyenqaba 1.0	N g i j E n !\ a b_< a
ngiyethemba 1.0	N g i j E t_h E m b a
ngiyeza 1.0	N g i j E z a
ngiyibone 1.0	N g i j i b_< O n E
ngiyini 1.0	N g i j i n i
ngiyiphethe 1.0	N g i j i p_h E t_h E
ngiyobazisa 1.0	N g i j O b_< a z i s a
ngiyobe 1.0	N g i j O b_< E
ngiyobiza 1.0	N g i j O b_< i z a
ngiyofike 1.0	N g i j O f i k E
ngiyojabula 1.0	N g i j O d_0Z a b_< u l a
ngiyokuthokozela 1.0	N g i j O k u t_h O k O z E l a
ngiyophuma 1.0	N g i j O p_h u m a
ngiyosikhipha 1.0	N g i j O s i k_h i p_h a
ngiyosiqoba 1.0	N g i j O s i !\ O b_< a
ngiyothenga 1.0	N g i j O t_h E N g a
ngiyothi 1.0	N g i j O t_h i
ngiyothokoza 1.0	N g i j O t_h O k O z a
ngiyovula 1.0	N g i j O v u l a
ngizama 1.0	N g i z a m a
ngizamile 1.0	N g i z a m i l E
ngize 1.0	N g i z E
ngizenzela 1.0	N g i z E n dz E l a
ngizibalekele 1.0	N g i z i b_< a l E k E l E
ngizibonele 1.0	N g i z i b_< O n E l E
ngizibulale 1.0	N g i z i b_< u l a l E
ngizibuza 1.0	N g i z i b_< u z a
ngizilahla 1.0	N g i z i l a K a
ngizishayile 1.0	N g i z i S a j i l E
ngizitike 1.0	N g i z i t_> i k E
ngizizwa 1.0	N g i z i z w a
ngizobavumela 1.0	N g i z O b_< a v u m E l a
ngizobe 1.0	N g i z O b_< E
ngizobona 1.0	N g i z O b_< O n a
ngizobuya 1.0	N g i z O b_< u j a
ngizobuye 1.0	N g i z O b_< u j E
ngizohamba 1.0	N g i z O h a m b a
ngizokubamba 1.0	N g i z O k u b_< a m b a
ngizokubona 1.0	N g i z O k u b_< O n a
ngizokufundisa 1.0	N g i z O k u f u n d i s a
ngizokunika 1.0	N g i z O k u n i k a
ngizokushaya 1.0	N g i z O k u S a j a
ngizoloku 1.0	N g i z O l O k u
ngizombhalela 1.0	N g i z O m b a l E l a
ngizombona 1.0	N g i z O m b O n a
ngizomkhumisa 1.0	N g i z O m k_h u m i s a
ngizomlungisela 1.0	N g i z O m l u N g i s E l a
ngizomnikeza 1.0	N g i z O m n i k E z a
ngizomsiza 1.0	N g i z O m s i z a
ngizomthumelela 1.0	N g i z O m t_h u m E l E l a
ngizomtshela 1.0	N g i z O m tS_> E l a
ngizonikhulula 1.0	N g i z O n i k_h u l u l a
ngizophakamisa 1.0	N g i z O p_h a k a m i s a
ngizophelekezelwa 1.0	N g i z O p_h E l E k E z E l w a
ngizophendla 1.0	N g i z O p_h E n K\ a
ngizoqala 1.0	N g i z O !\ a l a
ngizoqhasha 1.0	N g i z O !\h a S a
ngizosheshe 1.0	N g i z O S E S E
ngizothanda 1.0	N g i z O t_h a n d a
ngizothatha 1.0	N g i z O t_h a t_h a
ngizothi 1.0	N g i z O t_h i
ngizoyidonsela 1.0	N g i z O j i d O n ts_> E l a
ngizozidlela 1.0	N g i z O z i K\ E l a
ngizulelwa 1.0	N g i z u l E l w a
ngizwe 1.0	N g i z w E
ngoashikenaze 1.0	N g O a S i k E n a z E
ngoba 1.0	N g O b_< a
ngobaba 1.0	N g O b_< a b_< a
